Sr.no,ID,Name of News,youtube link,https://youtu.be/ATOcPSGRgVk?si=pnFohU9qeZqgbPXj,Duration,standard duration,Publishing year,Media Organization,Auidio Quality,single speaker,Country,Pecha Tools,Group,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
1.0,STT_NW0001,༄༅། །འགྲོ་མགོན་བཀའ་བརྒྱུད་པའི་བླ་ཆེན་ཁག་ནས་འཚམས་འདྲིའི་བཀའ་སློབ།,https://youtu.be/UAoD_swP9uA?si=CbQI-_Q97V6-gZ8r,Youtube,0:58:10,00:58:09,2020.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
2.0,STT_NW0002,༄༅། །ཟླ་རེའི་གསར་འགྱུར་ཕྱོགས་བསྡུས། ,https://youtu.be/t14klcff2fk?si=CtA0tOS5dO0Mb2Rj,Youtube,0:18:55,00:18:54,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
3.0,STT_NW0003,༄༅། །ཟླ་རེའི་གསར་འགྱུར་ཕྱོགས་བསྡུས། ,https://youtu.be/SFHDCY7OVjE?si=He2zRSPrBCg_k_cP,Youtube,0:12:02,00:11:01,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
4.0,STT_NW0004,༄༅། །ཟླ་རེའི་གསར་འགྱུར་ཕྱོགས་བསྡུས། ,https://youtu.be/EwbbVBNK_sI?si=p-JVnD9eedXvRHkR,Youtube,0:18:45,00:18:45,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
5.0,STT_NW0005,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ,https://youtu.be/C32XKz7Csp4?si=xNNaCVNRMVeX1dLP,Youtube,0:09:50,00:09:51,2022.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
6.0,STT_NW0006,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ,https://youtu.be/1jKoT6LStFI?si=Pe3l9AquYqD4cwsW,Youtube,0:10:09,00:10:09,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
7.0,STT_NW0007,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ,https://youtu.be/cYfWYTIef5E?si=1dxqn9eIIAy2pFDO,Youtube,0:08:01,00:08:00,2019.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
8.0,STT_NW0008,བོད་ཀྱི་བརྙན་འཕྲིན་གྱི་ཉིན་རེའི་གསར་འགྱུར། ,https://youtu.be/v-auoE6VgYU?si=eMQTKMHiuWQ17voZ,Youtube,0:06:20,00:06:19,2024.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
9.0,STT_NW0009,༄༅། ། བོད་ཟླ་ ༨ ཚེས་ ༦ ནས་ ༡༣ བར་གྱི་བདུན་གཅིག་གི་རྩིས་འབྲས།,https://youtu.be/FY9RNtC1tlo?si=xH1HRkwOAwbTg0Ih,Youtube,0:04:18,00:04:17,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
10.0,STT_NW0010,༄༅། ། བོད་ཟླ་ ༧ ཚེས་ ༨ ནས་ ༡༤ བར་གྱི་བདུན་གཅིག་གི་རྩིས་འབྲས།,https://youtu.be/NCycal3edkA?si=4Y0qGXEXwIIoiHuK,Youtube,0:04:09,00:04:08,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
11.0,STT_NW0011,༄༅། ། བོད་ཟླ་ ༦ ཚེས་ ༢༤ ནས་ ༣༠ བར་གྱི་བདུན་གཅིག་གི་རྩིས་འབྲས།,https://youtu.be/B8eBsRZz0_M?si=AxAKN62q6VDK5tG2,Youtube,0:03:39,00:03:38,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
12.0,STT_NW0012,།ཡུ་རོབ་རྒྱལ་ཁབ་ཁག་དང་རྒྱ་གར་ཧི་མ་ཅལ་མངའ་སྡེའི་ས་ཁུལ་གྱི་གཞུང་འབྲེལ་འཚམས་གཟིགས་སྐོར་བཅར་འདྲི།,https://youtu.be/RB0XGxEqGgE?si=ykjaxfvCHQOsua2A,Youtube,0:49:34,00:49:34,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
13.0,STT_NW0013,༄༅། །བོད་ཀྱི་བསྟན་པ་ཕྱི་དར། ལེའུ། དང་པོ།,https://youtu.be/OPv77dq0fUc?si=VKyZG20JwO3dc-5W,Youtube,0:10:22,00:10:22,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
14.0,STT_NW0014,༄༅། །བོད་ཀྱི་བསྟན་པ་ཕྱི་དར། ལེའུ། དང་པོ།,https://youtu.be/1W46B3LzPgk?si=bJfvsumBLWBvWVM2,Youtube,0:19:40,00:19:40,2023.0,TibetTV,Good,True,India,Uploaded,Group A,,,,,,,,,,,,,
