Audio File (Original),split duration,dept
STT_CS-D-2011-P-D-B04-5-R-01,00:12:17.976,STT_CS
STT_CS-D-2011-P-D-B05-3-R-03,00:14:54.004,STT_CS
STT_CS-D-2011-P-D-B05-4-R-01,00:19:39.947,STT_CS
STT_CS-D-2011-P-D-B05-4-R-02,00:05:15.133,STT_CS
STT_CS-D-2011-P-D-B05-5-r-01,00:06:19.535,STT_CS
STT_CS-D-2011-P-D-B06-4-R-01,00:05:46.833,STT_CS
STT_CS-D-2011-P-D-B06-6-R-01,00:04:44.291,STT_CS
STT_CS-D-2011-P-D-B07-5-R-01,00:20:30.810,STT_CS
STT_CS-D-2011-P-D-B08-5-R-01a,00:08:14.249,STT_CS
STT_CS-D-2011-P-D-B08-5-R-01b,00:02:30.744,STT_CS
STT_CS-D-2011-P-D-B08-5-R-01c,00:01:50.633,STT_CS
STT_CS-D-2011-P-D-B08-5-R-02a,00:03:29.947,STT_CS
STT_CS-D-2011-P-D-B08-5-R-03,00:08:21.490,STT_CS
STT_CS-D-2011-P-D-G04-2-K-01,00:00:53.271,STT_CS
STT_CS-D-2011-P-D-G05-2-K-01a,00:00:31.082,STT_CS
STT_CS-D-2011-P-D-G05-2-K-01b,00:00:44.859,STT_CS
STT_CS-D-2011-P-D-G05-2-K-01c,00:00:42.837,STT_CS
STT_CS-D-2011-P-D-G05-6-N-01,00:11:37.168,STT_CS
STT_CS-D-2011_2010-M_M-D_D-G01_G02-2_2-L_L-02,00:12:11.543,STT_CS
STT_CS-D-2011_2011-M_M-D_D-G02_G02-2_2-L_L-02,00:07:58.967,STT_CS
STT_CS-D-2011_2012-M_M-D_D-B05_B06-5_5-R_R-03,00:15:19.194,STT_CS
STT_CS-D-2011_2013-M_M-D_D-G02_G02-2_2-L_L-02,00:09:34.651,STT_CS
STT_CS-D-2011_2013-P_P-D_D-B05_B09-4_4-R_R-01,00:07:56.872,STT_CS
STT_CS-D-2012-M-D-B01-0-R-02,00:07:02.808,STT_CS
STT_CS-D-2012-M-D-B01-0-R-03,00:00:53.716,STT_CS
STT_CS-D-2012-M-D-B01-0-R-05,00:04:43.930,STT_CS
STT_CS-D-2012-M-D-B01-3-R-01,00:13:00.578,STT_CS
STT_CS-D-2012-M-D-B01-4-R-01,00:16:39.537,STT_CS
STT_CS-D-2012-M-D-B01-4-R-02,00:03:59.229,STT_CS
STT_CS-D-2012-M-D-B01-4-R-03,00:03:32.950,STT_CS
STT_CS-D-2012-M-D-B01-4-R-04,00:08:07.068,STT_CS
STT_CS-D-2012-M-D-B01-6-R-01,00:18:41.767,STT_CS
STT_CS-D-2012-M-D-B02-3-R-01,00:07:57.674,STT_CS
STT_CS-D-2012-M-D-B02-4-R-05,00:22:59.030,STT_CS
STT_CS-D-2012-M-D-B03-3-R-01a,00:31:37.185,STT_CS
STT_CS-D-2012-M-D-B03-3-R-01b,00:07:10.169,STT_CS
STT_CS-D-2012-M-D-B03-4-R-01,00:13:46.683,STT_CS
STT_CS-D-2012-M-D-B03-4-R-02,00:01:21.758,STT_CS
STT_CS-D-2012-M-D-B03-4-R-03,00:09:01.325,STT_CS
STT_CS-D-2012-M-D-B03-5-R-01,00:19:52.943,STT_CS
STT_CS-D-2012-M-D-B03-5-R-02,00:09:42.836,STT_CS
STT_CS-D-2012-M-D-B03-6-R-01,00:20:00.366,STT_CS
STT_CS-D-2012-M-D-B04-4-R-02,00:14:33.228,STT_CS
STT_CS-D-2012-M-D-B04-5-R-01a,00:03:55.860,STT_CS
STT_CS-D-2012-M-D-B04-5-R-01b,00:02:01.974,STT_CS
STT_CS-D-2012-M-D-B04-5-R-02-a,00:04:24.565,STT_CS
STT_CS-D-2012-M-D-B04-5-R-02-b,00:01:19.091,STT_CS
STT_CS-D-2012-M-D-B04-5-R-02-c,00:01:51.291,STT_CS
STT_CS-D-2012-M-D-B04-6-R-01,00:18:37.452,STT_CS
STT_CS-D-2012-M-D-B04-6-R-02,00:13:57.331,STT_CS
STT_CS-D-2012-M-D-B05-4-R-01,00:10:35.715,STT_CS
STT_CS-D-2012-M-D-B05-5-R-01a,00:02:09.415,STT_CS
STT_CS-D-2012-M-D-B05-5-R-01b,00:07:22.108,STT_CS
STT_CS-D-2012-M-D-B05-5-R-02,00:03:09.078,STT_CS
STT_CS-D-2012-M-D-B05-5-R-03,00:07:31.143,STT_CS
STT_CS-D-2012-M-D-B05-5-R-05,00:07:27.146,STT_CS
STT_CS-D-2012-M-D-B05-5-R-07,00:08:38.197,STT_CS
STT_CS-D-2012-M-D-B06-6-R-01,00:03:05.564,STT_CS
STT_CS-D-2012-M-D-B07-5-R-01a,00:01:31.159,STT_CS
STT_CS-D-2012-M-D-B07-5-R-01b,00:00:53.781,STT_CS
STT_CS-D-2012-M-D-B07-6-R-01,00:05:57.869,STT_CS
STT_CS-D-2012-M-D-B08-5-R-01a,00:03:37.740,STT_CS
STT_CS-D-2012-M-D-B08-5-R-01b,00:02:32.448,STT_CS
STT_CS-D-2012-M-D-B08-5-R-02,00:20:27.014,STT_CS
STT_CS-D-2012-M-D-B08-5-R-03,00:18:46.247,STT_CS
STT_CS-D-2012-M-D-B08-5-T-01,00:01:48.043,STT_CS
STT_CS-D-2012-M-D-B08-6-R-01,00:03:59.783,STT_CS
STT_CS-D-2012-M-D-B08-6-R-02,00:09:18.313,STT_CS
STT_CS-D-2012-M-D-B09-6-R-01,00:06:19.165,STT_CS
STT_CS-D-2012-M-D-B09-6-R-02,00:14:31.991,STT_CS
STT_CS-D-2012-M-D-G01-1-L-01,00:09:00.735,STT_CS
STT_CS-D-2012-P-D-B01-6-R-01,00:11:52.902,STT_CS
