ID,split duration,dept
STT_PC0147,01:05:35.305,STT_PC
STT_PC0148,00:27:40.034,STT_PC
STT_PC0149,00:02:02.763,STT_PC
STT_PC0150,00:04:17.837,STT_PC
STT_PC0151,00:07:50.942,STT_PC
STT_PC0153,00:23:36.168,STT_PC
STT_PC0154,00:22:51.867,STT_PC
STT_PC0155,00:20:25.981,STT_PC
STT_PC0156,00:20:48.643,STT_PC
STT_PC0157,00:23:05.115,STT_PC
STT_PC0158,00:04:55.594,STT_PC
STT_PC0159,00:44:07.686,STT_PC
STT_PC0160,00:24:27.192,STT_PC
STT_PC0161,00:38:21.169,STT_PC
STT_PC0162,01:22:20.258,STT_PC
STT_PC0163,00:26:35.069,STT_PC
STT_PC0164,00:29:14.629,STT_PC
STT_PC0165,00:22:49.932,STT_PC
STT_PC0166,00:16:12.146,STT_PC
STT_PC0167,00:21:15.395,STT_PC
STT_PC0168,00:27:38.142,STT_PC
STT_PC0169,00:07:21.373,STT_PC
STT_PC0170,00:25:32.402,STT_PC
STT_PC0171,00:05:26.108,STT_PC
STT_PC0172,00:13:40.547,STT_PC
STT_PC0173,00:04:12.381,STT_PC
STT_PC0174,00:06:02.144,STT_PC
STT_PC0175,00:12:47.025,STT_PC
STT_PC0176,00:26:23.705,STT_PC
STT_PC0177,00:32:50.114,STT_PC
STT_PC0178,00:26:13.701,STT_PC
STT_PC0179,00:44:38.562,STT_PC
STT_PC0180,00:13:56.129,STT_PC
STT_PC0181,00:06:42.482,STT_PC
STT_PC0182,00:02:45.351,STT_PC
STT_PC0183,00:14:08.728,STT_PC
STT_PC0184,00:06:07.831,STT_PC
STT_PC0185,00:08:58.556,STT_PC
STT_PC0186,00:19:33.357,STT_PC
STT_PC0187,00:22:55.284,STT_PC
STT_PC0188,00:16:39.670,STT_PC
STT_PC0189,00:12:16.180,STT_PC
STT_PC0190,00:18:01.152,STT_PC
STT_PC0191,00:18:30.263,STT_PC
STT_PC0192,00:07:11.447,STT_PC
STT_PC0193,00:45:36.954,STT_PC
STT_PC0194,00:22:51.185,STT_PC
STT_PC0195,00:35:01.550,STT_PC
STT_PC0196,00:35:40.598,STT_PC
STT_PC0197,00:56:11.683,STT_PC
STT_PC0198,00:13:17.719,STT_PC
STT_PC0199,00:17:59.816,STT_PC
STT_PC0200,00:30:46.122,STT_PC
STT_PC0201,01:04:34.417,STT_PC
STT_PC0202,00:15:50.283,STT_PC
STT_PC0203,00:08:37.376,STT_PC
STT_PC0204,00:44:15.023,STT_PC
STT_PC0205,00:43:07.558,STT_PC
STT_PC0206,00:34:26.655,STT_PC
STT_PC0207,00:10:34.549,STT_PC
STT_PC0208,01:04:44.745,STT_PC
STT_PC0209,00:27:06.441,STT_PC
STT_PC0210,00:39:54.717,STT_PC
STT_PC0211,01:17:53.254,STT_PC
STT_PC0212,00:39:04.293,STT_PC
STT_PC0213,00:54:07.515,STT_PC
STT_PC0214,00:53:49.548,STT_PC
STT_PC0215,00:24:08.243,STT_PC
STT_PC0216,00:18:47.743,STT_PC
STT_PC0217,00:30:21.837,STT_PC
STT_PC0218,00:36:50.997,STT_PC
STT_PC0219,00:13:49.661,STT_PC
STT_PC0220,00:25:01.976,STT_PC
STT_PC0221,00:59:17.582,STT_PC
STT_PC0222,00:45:05.004,STT_PC
STT_PC0223,00:39:41.103,STT_PC
STT_PC0224,00:40:53.923,STT_PC
STT_PC0225,01:01:50.731,STT_PC
STT_PC0226,00:44:35.493,STT_PC
STT_PC0227,00:13:47.748,STT_PC
STT_PC0228,00:28:10.064,STT_PC
STT_PC0229,00:12:22.799,STT_PC
STT_PC0230,00:21:59.717,STT_PC
STT_PC0231,00:39:15.135,STT_PC
STT_PC0232,00:41:59.740,STT_PC
STT_PC0233,00:02:29.150,STT_PC
STT_PC0234,00:04:09.761,STT_PC
STT_PC0235,00:04:13.234,STT_PC
STT_PC0236,00:02:53.980,STT_PC
STT_PC0237,00:25:08.551,STT_PC
STT_PC0238,00:26:36.705,STT_PC
STT_PC0239,00:49:55.278,STT_PC
STT_PC0240,01:38:25.062,STT_PC
STT_PC0241,00:24:48.219,STT_PC
STT_PC0242,00:24:33.556,STT_PC
STT_PC0243,00:31:02.805,STT_PC
STT_PC0244,00:35:01.550,STT_PC
STT_PC0245,00:34:21.870,STT_PC
STT_PC0246,00:36:45.601,STT_PC
STT_PC0247,00:21:08.905,STT_PC
STT_PC0248,00:47:11.542,STT_PC
STT_PC0249,00:15:25.850,STT_PC
STT_PC0250,00:05:09.043,STT_PC
STT_PC0350,00:11:44.269,STT_PC
STT_PC0351,00:02:06.400,STT_PC
STT_PC0352,00:19:29.799,STT_PC
STT_PC0353,00:08:31.012,STT_PC
STT_PC0354,00:11:01.924,STT_PC
STT_PC0355,00:08:03.836,STT_PC
STT_PC0356,00:01:25.427,STT_PC
STT_PC0357,00:18:09.323,STT_PC
STT_PC0358,00:10:01.026,STT_PC
STT_PC0359,00:09:08.352,STT_PC
STT_PC0360,00:14:04.548,STT_PC
STT_PC0361,00:28:40.418,STT_PC
STT_PC0362,00:21:00.427,STT_PC
STT_PC0363,00:19:09.391,STT_PC
STT_PC0364,00:24:05.206,STT_PC
STT_PC0365,00:16:12.119,STT_PC
STT_PC0366,00:06:05.313,STT_PC
STT_PC0367,00:01:10.422,STT_PC
STT_PC0368,00:07:56.111,STT_PC
STT_PC0369,00:01:52.255,STT_PC
STT_PC0370,00:04:37.314,STT_PC
STT_PC0371,00:03:57.531,STT_PC
STT_PC0372,00:00:45.386,STT_PC
STT_PC0373,00:00:54.168,STT_PC
